orig_row_rec,Wbname_fin,EMU_site_irn,Island,Shehia_cleaned,include,Year,month,niclo_by_site,Date_ed,month_survey_order,Visit,Shname,Wbtype,wbtype_fin,Wbtype2_ed,no_collected,Bul_pres_ed,Bglob,Bfor,Lym,Mel,Cleo,Pila,Lan,Cera,Neri,Thiara,Othsnail,tot_pres_all_genera,pres_non_bulinids,Infsnails,Infsnails_no,niclo_order,niclo_visit,Date_appl_ed,sprayed_but_no_bul,sprayed_when_Bul_presy,sprayed_when_Bul_presn,Sprayed_Steffi_ed,Sprayed_Steffi,HS8,HS10,PS,Barreldrip,NumberofHudsonsprayersused,Volumeofwatersprayedwithmachine,Nicl,N_Duration_min,N_Duration_new,Timeofapplicationhhmm,Numberofsprayers,Notesappl,M_Notesappl,monthly_precip
1373,Kwandifu,498885,Pemba,MGOGONI,,2015,11,y,30/11/2015,40,3,MGOGONI,RICE PADDY,stream,permanent,4,1,1,0,0,0,0,0,0,0,0,0,,1,0,,,35,3,30/11/2015,,1,0,1,1,1,0,0,0,2,,,26,26 min,11:58,2,,date application in month-day format- replaced with survey date,274.8
1374,Kwandifu,498885,Pemba,MGOGONI,,2016,8,o,06/08/2016,47,4,MGOGONI,RICE PADDY,stream,permanent,24,1,1,0,0,0,0,0,1,0,0,0,0,2,1,,,42,4,06/08/2016,,1,0,1,1,1,0,0,0,2,,,12,12 min,11:34,2,,,128.5
1375,Kwandifu,498885,Pemba,MGOGONI,,2016,10,y,05/10/2016,49,5,MGOGONI,RICE PADDY,stream,permanent,16,1,1,0,0,0,0,0,1,0,0,0,0,2,1,,,44,5,05/10/2016,,1,0,1,1,1,0,0,0,2,,,12,12 min,10:57,2,,,20
1376,Kwandifu,498885,Pemba,MGOGONI,,2016,11,y,22/11/2016,50,6,MGOGONI,RICE PADDY,stream,permanent,17,1,1,0,0,0,0,0,0,0,0,0,0,1,0,,,45,6,22/11/2016,,1,0,1,1,1,0,0,0,1,,,12,12 min,12:33,1,,,91.5
1841,Kwanguruwe,382693,Pemba,PIKI,,2012,8,o,17/08/2012,6,2,PIKI,,stream,permanent,51,1,1,0,0,0,0,0,0,0,0,0,,1,0,,,3,1,17/08/2012,,1,0,1,1,1,0,0,0,3,24,,,,,,,date of niclosamide was blank- added from survey date,29.8
1843,Kwanguruwe,382693,Pemba,PIKI,,2013,1,,15/01/2013,11,4,PIKI,RICE PADDY,stream,permanent,5,1,1,0,0,0,0,0,0,0,0,0,0,1,0,,,8,3,15/01/2013,,1,0,1,1,1,0,0,0,1,8,,13,13 min,03:15:00,1,,date of niclosamide was blank- added from survey date,103
1849,Kwanguruwe,382693,Pemba,PIKI,,2014,8,o,27/08/2014,25,10,PIKI,STREAM,stream,permanent,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,,,20,8,27/08/2014,,1,0,1,1,1,0,0,0,1,,,12,12 min,01:01,1,,,44.8
3257,Mafarasi,498889,Unguja,KINYASINI,,2015,7,o,01/07/2015,36,1,KINYASINI,STREAM,stream,temporary,9,1,1,0,0,0,0,1,0,0,0,0,0,2,1,0,0,31,1,01/07/2015,,1,0,1,1,1,0,0,0,1,,8,5,5 min,11:17,2,,date of niclosamide was blank- added from survey date,43.7
3259,Mafarasi,498889,Unguja,KINYASINI,,2016,1,,11/01/2016,42,3,KINYASINI,DAM,stream,temporary,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,37,3,11/01/2016,,1,0,1,1,0,1,0,0,1,,80,10,10 min,10:50,3,,date of niclosamide was blank- added from survey date,113.9
3260,Mafarasi,498889,Unguja,KINYASINI,,2016,7,,22/07/2016,46,4,KINYASINI,POND,stream,temporary,2,1,1,0,0,0,1,0,0,0,0,0,0,2,1,0,0,41,4,22/07/2016,,1,0,1,1,0,1,0,0,1,,80,10,10 min,10:40,3,,date of niclosamide was blank- added from survey date,2
3265,Makarani (Eneo Jipya),384823,Unguja,KINYASINI,,2013,8,,26/08/2013,15,3,KINYASINI,RIVER,pond,temporary,24,1,1,0,0,0,1,1,0,0,0,0,0,3,1,,,12,1,26/08/2013,,1,0,1,1,0,0,1,0,,,2,65,11:20:00,10:15,4,,date of niclosamide was blank- added from survey date,17.7
1860,Mapanya,382703,Pemba,PIKI,,2012,8,o,16/08/2012,6,2,PIKI,RICE PADDY,rice/stream,temporary,46,1,1,0,0,0,0,0,0,0,0,0,,1,0,,,3,1,16/08/2012,,1,0,1,1,1,0,0,0,4,32,,,,,,,date of niclosamide was blank- added from survey date,29.8
